datetime,difftime,segundos,valor,porcentaje,deconstruccion,aux1,aux2
2025-09-27 18:14:48,832.502794,832,406825.22,7.261426744,2,0,0
2025-09-27 18:14:49,833.299927,833,406825.22,7.261426744,2,0,0
2025-09-27 18:14:49,833.299927,833,406825.22,7.261426744,2,0,0
2025-09-27 18:14:50,833.976614,833,406825.22,7.261426744,2,0,0
2025-09-27 18:14:50,833.976614,833,406825.22,7.261426744,2,0,0
2025-09-27 18:14:50,834.589024,834,406825.22,7.261426744,2,0,0
2025-09-27 18:14:50,834.589024,834,406825.22,7.261426744,2,0,0
2025-09-27 18:14:51,835.23288,835,406825.22,7.261426744,2,0,0
2025-09-27 18:14:51,835.23288,835,406825.22,7.261426744,2,0,0
2025-09-27 18:14:52,836.029286,836,406598.02,7.201525023,2,0,0
2025-09-27 18:14:52,836.029286,836,406680.89,7.223374287,2,0,0
2025-09-27 18:14:52,836.642604,836,406598.02,7.201525023,2,0,0
2025-09-27 18:14:52,836.642604,836,406680.89,7.223374287,2,0,0
2025-09-27 18:14:54,837.755931,837,406598.02,7.201525023,2,0,0
2025-09-27 18:14:54,837.755931,837,406680.74,7.223334251,2,0,0
2025-09-27 18:14:54,838.338997,838,406598.02,7.201525023,2,0,0
2025-09-27 18:14:54,838.338997,838,406598.02,7.201525023,2,0,0
2025-09-27 18:14:55,839.075737,839,406598.02,7.201525023,2,0,0
2025-09-27 18:14:55,839.075737,839,406598.02,7.201525023,2,0,0
2025-09-27 18:14:56,839.922608,839,406598.02,7.201525023,2,0,0
2025-09-27 18:14:56,839.922608,839,406598.02,7.201525023,2,0,0
2025-09-27 18:14:57,840.862557,840,406598.02,7.201525023,2,0,0
2025-09-27 18:14:57,840.862557,840,406598.02,7.201525023,2,0,0
2025-09-27 18:14:58,841.910868,841,406301.51,7.123348503,2,0,0
2025-09-27 18:14:58,841.910868,841,406598.02,7.201525023,2,0,0
2025-09-27 18:14:58,842.514245,842,406301.51,7.123348503,2,0,0
2025-09-27 18:14:58,842.514245,842,406598.02,7.201525023,2,0,0
2025-09-27 18:14:59,843.336593,843,406301.51,7.123348503,2,0,0
2025-09-27 18:14:59,843.336593,843,406301.51,7.123348503,2,0,0
2025-09-27 18:15:00,844.27222,844,406301.51,7.123348503,2,0,0
2025-09-27 18:15:00,844.27222,844,406301.51,7.123348503,2,0,0
2025-09-27 18:15:01,845.321233,845,406301.51,7.123348503,2,0,0
2025-09-27 18:15:01,845.32174,845,406301.51,7.123348503,2,0,0
2025-09-27 18:15:02,845.930369,845,406301.51,7.123348503,2,0,0
2025-09-27 18:15:02,845.931369,845,406301.51,7.123348503,2,0,0
2025-09-27 18:15:02,846.69555,846,406301.51,7.123348503,2,0,0
2025-09-27 18:15:02,846.711551,846,406301.51,7.123348503,2,0,0
2025-09-27 18:15:03,847.667651,847,406301.51,7.123348503,2,0,0
2025-09-27 18:15:03,847.667651,847,406301.51,7.123348503,2,0,0
2025-09-27 18:15:04,848.485909,848,406301.51,7.123348503,2,0,0
2025-09-27 18:15:04,848.485909,848,406301.51,7.123348503,2,0,0
2025-09-27 18:15:05,849.035425,849,406301.51,7.123348503,2,0,0
2025-09-27 18:15:05,849.035425,849,406301.51,7.123348503,2,0,0
2025-09-27 18:15:06,849.782609,849,406300.78,7.123155706,2,0,0
2025-09-27 18:15:06,849.782609,849,406301.51,7.123348503,2,0,0
2025-09-27 18:15:06,850.536497,850,406300.78,7.123155706,2,0,0
2025-09-27 18:15:06,850.536497,850,406301.51,7.123348503,2,0,0
2025-09-27 18:15:07,851.57337,851,406300.78,7.123155706,2,0,0
2025-09-27 18:15:07,851.57337,851,406300.78,7.123155706,2,0,0
2025-09-27 18:15:08,852.214167,852,406300.78,7.123155706,2,0,0
2025-09-27 18:15:08,852.214167,852,406300.78,7.123155706,2,0,0
2025-09-27 18:15:09,852.918831,852,406300.78,7.123155706,2,0,0
2025-09-27 18:15:09,852.918831,852,406300.78,7.123155706,2,0,0
2025-09-27 18:15:10,853.784584,853,406300.78,7.123155706,2,0,0
2025-09-27 18:15:10,853.784584,853,406300.78,7.123155706,2,0,0
2025-09-27 18:15:10,854.268413,854,406300.78,7.123155706,2,0,0
2025-09-27 18:15:10,854.268413,854,406300.78,7.123155706,2,0,0
2025-09-27 18:15:11,854.925431,854,406300.78,7.123155706,2,0,0
2025-09-27 18:15:11,854.926424,854,406300.78,7.123155706,2,0,0
2025-09-27 18:15:13,857.060113,857,406300.78,7.123155706,2,0,0
2025-09-27 18:15:13,857.061111,857,406300.78,7.123155706,2,0,0
2025-09-27 18:15:14,857.95338,857,406300.78,7.123155706,2,0,0
2025-09-27 18:15:14,857.95338,857,406300.78,7.123155706,2,0,0
2025-09-27 18:15:15,858.744233,858,406300.78,7.123155706,2,0,0
2025-09-27 18:15:15,858.746245,858,406300.78,7.123155706,2,0,0
2025-09-27 18:15:15,859.648301,859,406300.78,7.123155706,2,0,0
2025-09-27 18:15:15,859.648301,859,406300.78,7.123155706,2,0,0
2025-09-27 18:15:16,860.252113,860,406300.78,7.123155706,2,0,0
2025-09-27 18:15:16,860.253146,860,406300.78,7.123155706,2,0,0
2025-09-27 18:15:18,861.981763,861,406300.78,7.123155706,2,0,0
2025-09-27 18:15:18,861.981763,861,406300.78,7.123155706,2,0,0
2025-09-27 18:15:19,862.735584,862,406300.78,7.123155706,2,0,0
2025-09-27 18:15:19,862.735584,862,406300.78,7.123155706,2,0,0
2025-09-27 18:15:19,863.533695,863,406272.72,7.115758665,2,0,0
2025-09-27 18:15:19,863.533695,863,406300.78,7.123155706,2,0,0
2025-09-27 18:15:20,864.128917,864,406272.72,7.115758665,2,0,0
2025-09-27 18:15:20,864.128917,864,406300.78,7.123155706,2,0,0
2025-09-27 18:15:28,872.47032,872,405396.84,6.884827575,2,0,0
2025-09-27 18:15:28,872.47032,872,406272.72,7.115758665,2,0,0
2025-09-27 18:15:29,873.052174,873,405396.84,6.884827575,2,0,0
2025-09-27 18:15:29,873.06782,873,405401.86,6.886152019,2,0,0
2025-09-27 18:15:30,874.491185,874,405396.84,6.884827575,2,0,0
2025-09-27 18:15:30,874.491185,874,405401.86,6.886152019,2,0,0
2025-09-27 18:15:31,875.656096,875,405396.84,6.884827575,2,0,0
2025-09-27 18:15:31,875.656096,875,405401.86,6.886152019,2,0,0
2025-09-27 18:15:32,876.29834,876,405396.84,6.884827575,2,0,0
2025-09-27 18:15:32,876.314469,876,405401.86,6.886152019,2,0,0
2025-09-27 18:15:33,877.570682,877,405396.84,6.884827575,2,0,0
2025-09-27 18:15:33,877.570682,877,405396.84,6.884827575,2,0,0
2025-09-27 18:15:34,878.068721,878,405396.84,6.884827575,2,0,0
2025-09-27 18:15:34,878.068721,878,405396.84,6.884827575,2,0,0
2025-09-27 18:15:34,878.637507,878,405396.84,6.884827575,2,0,0
2025-09-27 18:15:34,878.637507,878,405396.84,6.884827575,2,0,0
2025-09-27 18:15:35,879.336429,879,405396.84,6.884827575,2,0,0
2025-09-27 18:15:35,879.336429,879,405396.84,6.884827575,2,0,0
2025-09-27 18:15:36,880.334905,880,405396.84,6.884827575,2,0,0
2025-09-27 18:15:36,880.334905,880,405396.84,6.884827575,2,0,0
2025-09-27 18:15:37,880.954118,880,405396.84,6.884827575,2,0,0
2025-09-27 18:15:37,880.954118,880,405396.84,6.884827575,2,0,0
2025-09-27 18:15:37,881.551311,881,405396.84,6.884827575,2,0,0
2025-09-27 18:15:37,881.551311,881,405396.84,6.884827575,2,0,0
2025-09-27 18:15:38,882.537061,882,404738.51,6.711255905,2,0,0
2025-09-27 18:15:38,882.537061,882,405396.84,6.884827575,2,0,0
2025-09-27 18:15:40,884.216992,884,404738.51,6.711255905,2,0,0
2025-09-27 18:15:40,884.216992,884,405396.84,6.884827575,2,0,0
2025-09-27 18:15:41,884.851536,884,404738.51,6.711255905,2,0,0
2025-09-27 18:15:41,884.851536,884,405396.84,6.884827575,2,0,0
2025-09-27 18:15:41,885.490273,885,404738.51,6.711255905,2,0,0
2025-09-27 18:15:41,885.490273,885,404738.51,6.711255905,2,0,0
2025-09-27 18:15:42,886.544782,886,404716.84,6.705542581,2,0,0
2025-09-27 18:15:42,886.544782,886,404738.51,6.711255905,2,0,0
2025-09-27 18:15:43,887.479796,887,404716.84,6.705542581,2,0,0
2025-09-27 18:15:43,887.479796,887,404716.84,6.705542581,2,0,0
2025-09-27 18:15:44,888.672743,888,404716.84,6.705542581,2,0,0
2025-09-27 18:15:44,888.672743,888,404716.84,6.705542581,2,0,0
2025-09-27 18:15:45,889.500682,889,404716.84,6.705542581,2,0,0
2025-09-27 18:15:45,889.500682,889,404716.84,6.705542581,2,0,0
2025-09-27 18:15:46,890.224754,890,404716.84,6.705542581,2,0,0
2025-09-27 18:15:46,890.224754,890,404716.84,6.705542581,2,0,0
2025-09-27 18:15:47,890.771348,890,404716.84,6.705542581,2,0,0
2025-09-27 18:15:47,890.771348,890,404716.84,6.705542581,2,0,0
2025-09-27 18:15:47,891.305382,891,404716.84,6.705542581,2,0,0
2025-09-27 18:15:47,891.30712,891,404716.84,6.705542581,2,0,0
2025-09-27 18:15:48,892.168347,892,404716.84,6.705542581,2,0,0
2025-09-27 18:15:48,892.168347,892,404716.84,6.705542581,2,0,0
2025-09-27 18:15:49,892.773635,892,404599.04,6.674484383,2,0,0
2025-09-27 18:15:49,892.773635,892,404716.84,6.705542581,2,0,0
2025-09-27 18:15:50,893.845748,893,404599.04,6.674484383,2,0,0
2025-09-27 18:15:50,893.845748,893,404599.04,6.674484383,2,0,0
2025-09-27 18:15:50,894.458081,894,404599.04,6.674484383,2,0,0
2025-09-27 18:15:50,894.458081,894,404599.04,6.674484383,2,0,0
2025-09-27 18:15:51,895.420119,895,403288.81,6.329037666,2,0,0
2025-09-27 18:15:51,895.420119,895,404599.04,6.674484383,2,0,0
2025-09-27 18:15:52,896.495392,896,403288.81,6.329037666,2,0,0
2025-09-27 18:15:52,896.495392,896,403562.11,6.401093817,2,0,0
2025-09-27 18:15:53,897.377256,897,403288.81,6.329037666,2,0,0
2025-09-27 18:15:53,897.379268,897,403384.1,6.354161029,2,0,0
2025-09-27 18:15:54,897.916494,897,403288.81,6.329037666,2,0,0
2025-09-27 18:15:54,897.916494,897,403384.1,6.354161029,2,0,0
2025-09-27 18:15:55,899.03366,899,403288.81,6.329037666,2,0,0
2025-09-27 18:15:55,899.03366,899,403384.1,6.354161029,2,0,0
2025-09-27 18:15:55,899.617167,899,403288.81,6.329037666,2,0,0
2025-09-27 18:15:55,899.617167,899,403342.31,6.343142388,2,0,0
2025-09-27 18:15:56,900.238875,900,403288.81,6.329037666,2,0,0
2025-09-27 18:15:56,900.238875,900,403342.31,6.343142388,2,0,0
2025-09-27 18:15:57,900.793485,900,403288.81,6.329037666,2,0,0
2025-09-27 18:15:57,900.795494,900,403288.81,6.329037666,2,0,0
2025-09-27 18:15:57,901.409363,901,403288.81,6.329037666,2,0,0
2025-09-27 18:15:57,901.409363,901,403288.81,6.329037666,2,0,0
2025-09-27 18:15:58,901.936892,901,403288.81,6.329037666,2,0,0
2025-09-27 18:15:58,901.936892,901,403288.81,6.329037666,2,0,0
2025-09-27 18:15:59,902.91746,902,403288.81,6.329037666,2,0,0
2025-09-27 18:15:59,902.91746,902,403288.81,6.329037666,2,0,0
2025-09-27 18:16:00,903.737032,903,403288.81,6.329037666,2,0,0
2025-09-27 18:16:00,903.737032,903,403288.81,6.329037666,2,0,0
2025-09-27 18:16:01,905.059078,905,403288.81,6.329037666,2,0,0
2025-09-27 18:16:01,905.059078,905,403288.81,6.329037666,2,0,0
2025-09-27 18:16:01,905.656599,905,403288.81,6.329037666,2,0,0
2025-09-27 18:16:01,905.656599,905,403288.81,6.329037666,2,0,0
2025-09-27 18:16:02,906.435301,906,403288.81,6.329037666,2,0,0
2025-09-27 18:16:02,906.435301,906,403288.81,6.329037666,2,0,0
2025-09-27 18:16:03,907.127485,907,403288.81,6.329037666,2,0,0
2025-09-27 18:16:03,907.127485,907,403288.81,6.329037666,2,0,0
2025-09-27 18:16:04,907.831146,907,403288.81,6.329037666,2,0,0
